"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","design_lib:C0603","1",""
"C2","100nF","design_lib:C0603","1",""
"C3","100nF","design_lib:C0603","1",""
"C4","0.1uF","design_lib:C0603","1",""
"C5","0.1uF","design_lib:C0603","1",""
"C6","0.1uF","design_lib:C0603","1",""
"H3","PZ254V-12-18P","design_lib:HDR-TH_18P-P2.54-V-M-R2-C9-S2.54","1",""
"Q1","S8050","design_lib:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"R1","10kΩ","design_lib:R0603","1",""
"R2","10R","design_lib:R0603","1",""
"R3","1kΩ","design_lib:R0603","1",""
"R4","4.7K","design_lib:R0603","1",""
"R5","4.7K","design_lib:R0603","1",""
"R6","4.7K","design_lib:R0603","1",""
"SW1","EC11N1525405","design_lib:EC11_ROTARY_ENCODER","1",""
"U1","ST7789_12P_LCD","design_lib:ST7789_12P_1x12_1.00mm","1",""
